Trial_ID,Title,Official_Title,Organization,Lead_Sponsor,Lead_Sponsor_Type,Overall_Status,Start_Date,Primary_Completion_Date,Completion_Date,Study_Type,Study_Phase,Enrollment,Masking,Allocation,Primary_Condition,All_Conditions,Condition_Count,Num_Arms,Num_Interventions,Intervention_Types,Gender,Accepts_Healthy_Volunteers,Primary_Outcome_Count,Secondary_Outcome_Count,Has_Outcome_Data,Has_Results,Primary_Outcomes,Secondary_Outcomes,Outcome_CBR,Outcome_CR,Outcome_DFS,Outcome_DMFS,Outcome_DoR,Outcome_EFS,Outcome_LRFS,Outcome_ORR,Outcome_OS,Outcome_PFS,Outcome_PR,Outcome_QOL,Outcome_RR,Outcome_TOX,Outcome_TTF,Outcome_TTP
NCT00363766,Study of LY573636-Sodium in Patients With Metastatic Non-Small Cell Lung Cancer,"A Phase 2 Study of LY573636-Sodium Administered as an Intravenous Infusion on Day 1 of a 21-Day Cycle as Third-line Treatment in Patients With Unresectable, Metastatic Non-Small Cell Lung Cancer",Eli Lilly and Company,Eli Lilly and Company,INDUSTRY,COMPLETED,2006-09,2008-10,2008-10,INTERVENTIONAL,PHASE2,,,,Non-Small-Cell Lung Cancer,Non-Small-Cell Lung Cancer,1,1,1,DRUG,,,1,7,True,Yes,Time to Progression (MEDIAN) months = 3.12 [2.04-4.21],Progression-Free Survival (MEDIAN) months = 2.69 [1.38-4.17]; Percentage of Participants With Complete Response or Partial Response (Objective Response Rate) (NUMBER) percentage of participants = 0; Pharmacokinetics: Maximum Concentration (Cmax) of LY573636 (GEOMETRIC_MEAN) micrograms/milliliter (µg/mL) = 379.6; Overall Survival Time (MEDIAN) months = 8.48 [5.06-10.15]; ; Duration of Stable Disease (MEDIAN) months = 4.21 [3.58-5.72]; Number of Participants With Adverse Events (Safety) (COUNT_OF_PARTICIPANTS) Participants = 17,,Percentage of Participants With Complete Response or Partial Response (Objective Response Rate) (NUMBER) percentage of participants = 0,,,,,,Percentage of Participants With Complete Response or Partial Response (Objective Response Rate) (NUMBER) percentage of participants = 0,Overall Survival Time (MEDIAN) months = 8.48 [5.06-10.15],Progression-Free Survival (MEDIAN) months = 2.69 [1.38-4.17],Percentage of Participants With Complete Response or Partial Response (Objective Response Rate) (NUMBER) percentage of participants = 0,,Percentage of Participants With Complete Response or Partial Response (Objective Response Rate) (NUMBER) percentage of participants = 0,Number of Participants With Adverse Events (Safety) (COUNT_OF_PARTICIPANTS) Participants = 17,,Time to Progression (MEDIAN) months = 3.12 [2.04-4.21]
NCT00364351,Efficacy Trial Comparing ZD6474 With Erlotinib in NSCLC After Failure of at Least One Prior Chemotherapy,"A Phase III, International, Randomised, Double Blind, Parallel-Group Study to Assess the Efficacy of Zactima™ Versus Tarceva® in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer",Sanofi,"Genzyme, a Sanofi Company",INDUSTRY,COMPLETED,2006-08,2008-09,2016-11,INTERVENTIONAL,PHASE3,,,,Non Small Cell Lung Cancer,Non Small Cell Lung Cancer,1,2,2,DRUG,,,1,6,True,Yes,Progression-Free Survival (PFS) (MEDIAN) Weeks = 11.3 [0.14-75.43],Overall Survival (OS) (MEDIAN) Months = 6.9 [0.03-18.46]; Objective Response Rate (ORR) (NUMBER) Participants = 75; Disease Control Rate (DCR) (NUMBER) Participants = 254; Time to Deterioration of Disease-related Symptoms (TDS) by EORTC Quality of Life Questionnaire - Pain (MEDIAN) Weeks = 11.1 [4.4-26]; Time to Deterioration of Disease-related Symptoms (TDS) by EORTC Quality of Life Questionnaire - Dyspnoea (MEDIAN) Weeks = 12 [5.7-29.7]; Time to Deterioration of Disease-related Symptoms (TDS) by EORTC Quality of Life Questionnaire - Cough (MEDIAN) Weeks = 15.6 [8.1-36.1],,,,,,,,Objective Response Rate (ORR) (NUMBER) Participants = 75,Overall Survival (OS) (MEDIAN) Months = 6.9 [0.03-18.46],Progression-Free Survival (PFS) (MEDIAN) Weeks = 11.3 [0.14-75.43],,Time to Deterioration of Disease-related Symptoms (TDS) by EORTC Quality of Life Questionnaire - Pain (MEDIAN) Weeks = 11.1 [4.4-26]; Time to Deterioration of Disease-related Symptoms (TDS) by EORTC Quality of Life Questionnaire - Dyspnoea (MEDIAN) Weeks = 12 [5.7-29.7]; Time to Deterioration of Disease-related Symptoms (TDS) by EORTC Quality of Life Questionnaire - Cough (MEDIAN) Weeks = 15.6 [8.1-36.1],Objective Response Rate (ORR) (NUMBER) Participants = 75,,,
NCT00367679,Pazopanib As Pre-Surgical Therapy In Treatment-Naive Subjects With Non-Small Cell Lung Cancer,"A Phase II Open-Label Multicenter Study to Evaluate the Safety and Efficacy of Pazopanib (GW786034) as Neoadjuvant Therapy in Treatment-Naïve Subjects With Stage IA, IB, IIA or IIB (to T2) Resectable ",GlaxoSmithKline,GlaxoSmithKline,INDUSTRY,COMPLETED,2006-11,2008-04,2008-04,INTERVENTIONAL,PHASE2,,,,Non-Small Cell Lung Cancer,"Non-Small Cell Lung Cancer; Lung Cancer, Non-Small Cell",2,1,1,DRUG,,,1,13,True,Yes,Number of Participants Achieving Tumor Shrinkage Based on Change in Tumor Volume (NUMBER) participants = 2,Number of Participants Achieving a Clinical Response Based on RECIST (NUMBER) participants = 0; ; Number of Participants With Shifts From Baseline to Grade 2 or Greater in Hematology Values (NUMBER) participants = 5; Number of Participants With Shifts From Baseline to Grade 2 or Greater in Chemistry Values (NUMBER) participants = 2; Number of Participants With the Indicated Change From Baseline in Systolic and Diastolic Blood Pressure (NUMBER) participants = 12; ; Ratio of Post- to Pretreatment Expression Levels for Each of the Indicated Pazopanib Target Genes (MEDIAN) ratio = 3.234; ; ; ; ; ; Ratio of Post- to Pretreatment Expression Levels for Each of the Indicated Pazopanib Target Proteins (MEDIAN) ratio = -1.35 [-1.644--1.155],,,,,,,,,,,,,,,,
NCT00368927,Sulindac in Preventing Lung Cancer in Current or Former Smokers With Bronchial Dysplasia,"Randomized, Phase IIb Trial of Sulindac in Smokers With Bronchial Dysplasia",National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,COMPLETED,2006-08,2010-05,2010-12,INTERVENTIONAL,PHASE2,,,,Precancerous Condition,Precancerous Condition; Stage I Non-small Cell Lung Cancer; Tobacco Use Disorder,3,2,2,DRUG; OTHER,,,1,1,True,Yes,Percentage of Participants With Response Determined by Change in Histologic Grade of Bronchial Dysplasia as Measured by Mucosal Biopsy Samples Before and After Treatment (NUMBER) percentage of participants = 38.5,Percent Change in Number of Dysplastic Lesions (DL) as Measured by Mucosal Biopsy Samples Before and After the Intervention (MEDIAN) Percent change in number of DL = -55 [-100-100],,,,,,,,,,,,,,,,
NCT00368992,"S0536: Cetuximab, Paclitaxel, Carboplatin, and Bevacizumab in Treating Patients With Advanced Non-Small Cell Lung Cancer","A Phase II Trial of Combination Carboplatin, Paclitaxel, Cetuximab and Bevacizumab (NSC-704865) Followed By Cetuximab and Bevacizumab in Patients With Advanced Non-Small Cell Lung Cancer",National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,COMPLETED,2006-08,2010-10,2010-10,INTERVENTIONAL,PHASE2,,,,Adenocarcinoma of the Lung,Adenocarcinoma of the Lung; Adenosquamous Cell Lung Cancer; Bronchoalveolar Cell Lung Cancer,8,1,3,BIOLOGICAL; DRUG,,,1,3,True,Yes,The Percentage of Patients With Grade 4 (i.e. Life-threatening) Hemorrhage Toxicities Related to Protocol Treatment. (NUMBER) percentage of participants = 2 [0-7],Progression-Free Survival (MEDIAN) Months = 7 [6-8]; Overall Survival (MEDIAN) months = 15 [11-21]; Response Rate (NUMBER) percentage of participants = 56 [44-65],,,,,,,,,Overall Survival (MEDIAN) months = 15 [11-21],Progression-Free Survival (MEDIAN) Months = 7 [6-8],,,Response Rate (NUMBER) percentage of participants = 56 [44-65],,,
NCT00370292,Dosage Schedule Study of Pemetrexed Monochemotherapy for Locally Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC),Pemetrexed Monochemotherapy in Patients With Locally Advanced or Metastatic Non Small Cell Lung Cancer. A Pilot Study to Define the Best Dosing Schedule for a Planned Phase II Randomized Trial,Eli Lilly and Company,Eli Lilly and Company,INDUSTRY,COMPLETED,2006-09,2008-09,2008-09,INTERVENTIONAL,PHASE2,,,,Non Small Cell Lung Cancer,Non Small Cell Lung Cancer,1,2,2,DRUG,,,2,1,True,Yes,"Mean Deoxycytidine Kinase (dCK) Expression Evaluated at Cycle 1, Cycle 2, and Cycle 3 (MEAN) mRNA relative values (ratio with GAPDH) = 0.92; Mean Human Equilibrative Nucleoside Transporter 1 (hENT) Expression Evaluated at Cycle 1, Cycle 2, and Cycle 3 (MEAN) mRNA relative values (ratio with GAPDH) = 0.86",Best Objective Tumor Response (NUMBER) participants = 1,,,,,,,,,,,,,,,,
NCT00372775,Study Tests The Safety And Effectiveness Of SU011248 In Patients With Non-Small Cell Lung Cancer Having Brain Metastases,A Phase 2 Efficacy And Safety Study Of SU011248 In Patients With Non-Small Cell Lung Cancer And Brain Metastases,Pfizer,Pfizer,INDUSTRY,COMPLETED,2007-03,2009-12,2009-12,INTERVENTIONAL,PHASE2,,,,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,1,1,1,DRUG,,,1,16,True,Yes,Progression-Free Survival (PFS) (MEDIAN) Weeks = 9.4 [7.5-13.1],Time to Tumor Progression (TTP) (MEDIAN) Weeks = 15.1 [8.4-15.8]; Time to Neurological Progression (TNP) (MEDIAN) Weeks = 8.1 [0.4-58.8]; Number of Participants With Objective Disease Response (NUMBER) Participants = 1; Time to Objective Intracranial Progression (MEDIAN) Weeks = 15.4 [12.1-24.8]; Number of Participants With Intracranial Objective Disease Response (NUMBER) Participants = 1; Duration of Response (DR) (NUMBER) Weeks = 32.1; Overall Survival (OS) (MEDIAN) Months = 5.8 [3.1-8.2]; Percentage of Participants Surviving at 1 Year (NUMBER) Percentage of participants = 23.4 [14.0-34.3]; Number of Deaths Due to Intracranial Versus Systemic Progression (NUMBER) Participants = 48; Change From Baseline in Functional Assessment of Cancer Therapy/National Comprehensive Cancer Network (FACT/NCCN) Lung Symptom Index (FLSI) Score (MEAN) Scores on a scale = 17.62 [16.01-19.22]; Change From Baseline in FACT/NCCN Brain Symptom Index (FBrSI) Score (MEAN) Scores on a scale = 45.72 [43.52-47.92]; Trough Plasma Concentrations (Ctrough) of Sunitinib (MEAN) nanograms per milliliter (ng/mL) = 50.89; Ctrough of Sunitinib Metabolite (SU012662) (MEAN) ng/mL = 33.85; ; ; ,,,,,Duration of Response (DR) (NUMBER) Weeks = 32.1,,,,Overall Survival (OS) (MEDIAN) Months = 5.8 [3.1-8.2],Progression-Free Survival (PFS) (MEDIAN) Weeks = 9.4 [7.5-13.1],,,,,,
NCT00373425,A Study of Erlotinib (Tarceva) After Surgery With or Without Adjuvant Chemotherapy in Non-Small Cell Lung Carcinoma (NSCLC) Patients Who Have Epiderma,"A Multi-center, Randomized, Double-blind, Placebo-controlled, Phase 3 Study of Single-agent Tarceva® (Erlotinib) Following Complete Tumor Resection With or Without Adjuvant Chemotherapy in Patients Wi",Astellas Pharma Inc,OSI Pharmaceuticals,INDUSTRY,COMPLETED,2006-09,2013-04,2014-06,INTERVENTIONAL,PHASE3,,,,Non-small Cell Lung Cancer,Non-small Cell Lung Cancer,1,2,2,DRUG,,,2,7,True,Yes,Disease Free Survival (DFS) (MEDIAN) months = 50.5; Disease Free Survival (DFS) (MEDIAN) months = 55.0 [47.0-64.5],; ; Disease-free Survival in Participants With EGFR Mutation - Positive Tumors (MEDIAN) months = 46.4; Disease-free Survival in Participants With EGFR Mutation - Positive Tumors (MEDIAN) months = 47.8 [39.8-60.8]; ; ; Number of Participants With Adverse Events (AEs) (NUMBER) participants = 599,,,Disease Free Survival (DFS) (MEDIAN) months = 50.5; Disease Free Survival (DFS) (MEDIAN) months = 55.0 [47.0-64.5]; Disease-free Survival in Participants With EGFR Mutation - Positive Tumors (MEDIAN) months = 46.4; Disease-free Survival in Participants With EGFR Mutation - Positive Tumors (MEDIAN) months = 47.8 [39.8-60.8],,,,,,,,,,,Number of Participants With Adverse Events (AEs) (NUMBER) participants = 599,,
NCT00387465,Azacitidine and Entinostat in Treating Patients With Recurrent Advanced Non-Small Cell Lung Cancer,A Phase I/II Study of Entinostat in Combination With 5-Azacytidine in Patients With Recurrent Advanced Non-Small Cell Lung Cancer,National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,COMPLETED,2006-08,2014-05,2014-11,INTERVENTIONAL,PHASE1; PHASE2,,,,Recurrent Non-Small Cell Lung Carcinoma,Recurrent Non-Small Cell Lung Carcinoma; Stage IIIA Non-Small Cell Lung Cancer; Stage IIIB Non-Small Cell Lung Cancer,4,3,3,DRUG,,,2,9,True,Yes,(Phase I) Maximum Tolerated Dose (MTD) of Azacitidine When Given Together With Entinostat as Determined by Number of Participants Experiencing Dose-limiting Toxicity (DLT) (COUNT_OF_PARTICIPANTS) Participants = 0; (Phase II) Objective Response Rate After Treatment With Azacitidine and Entinostat as Assessed by Number of Participants With Response After at Least One Cycle of Therapy (COUNT_OF_PARTICIPANTS) Participants = 1,"Effect of Entinostat and Azacitidine on DNA Methylation and Response (COUNT_OF_PARTICIPANTS) Participants = 8; Major Objective Response After Immediate Subsequent Therapy as Measured by Number of Participants With PR, SD, PD After at Least 1 Cycle of Subsequent Chemotherapy (COUNT_OF_PARTICIPANTS) Participants = 4; Overall Survival (MEDIAN) months = 6.4 [3.8-9.2]; Pharmacokinetic Profile of Azacytidine as Measured by Tmax (MEDIAN) hours = 0.5 [0.25-2.00]; Progression-free Survival (MEDIAN) weeks = 7.4 [7.0-8.0]; Pharmacokinetic Profile of Azacitidine as Measured by Cmax (MEAN) ng/mL = 468; Pharmacokinetic Profile of Azacitidine as Measured by AUC (ng*hr/mL) (MEAN) ng*hr/mL = 675; Average Steady State Trough Concentration (ng/mL) of Entinostat (MEAN) ng/mL = 0.84; Pharmacokinetic Profile of Azacitidine as Measured by Half-life (MEAN) hours = 1.12",,,,,,,,(Phase II) Objective Response Rate After Treatment With Azacitidine and Entinostat as Assessed by Number of Participants With Response After at Least One Cycle of Therapy (COUNT_OF_PARTICIPANTS) Participants = 1,Overall Survival (MEDIAN) months = 6.4 [3.8-9.2],Progression-free Survival (MEDIAN) weeks = 7.4 [7.0-8.0],,,(Phase II) Objective Response Rate After Treatment With Azacitidine and Entinostat as Assessed by Number of Participants With Response After at Least One Cycle of Therapy (COUNT_OF_PARTICIPANTS) Participants = 1,(Phase I) Maximum Tolerated Dose (MTD) of Azacitidine When Given Together With Entinostat as Determined by Number of Participants Experiencing Dose-limiting Toxicity (DLT) (COUNT_OF_PARTICIPANTS) Participants = 0,,
NCT00390806,Oral HYCAMTIN Plus Whole Brain Radiation Therapy In Treatment Of Brain Metastases Resulting From Non-Small Lung Cancer,"A Randomized, Phase III, Open-Label Study of Oral Topotecan Plus Whole-Brain Radiation Therapy (WBRT) Compared With WBRT Alone in Patients With Brain Metastases From Non-Small Cell Lung Cancer",GlaxoSmithKline,GlaxoSmithKline,INDUSTRY,COMPLETED,2006-12,2012-07,2013-09,INTERVENTIONAL,PHASE3,,,,"Lung Cancer, Non-Small Cell","Lung Cancer, Non-Small Cell",1,2,2,DRUG; RADIATION,,,1,30,True,Yes,Overall Survival (MEDIAN) months = 4.0 [3.4-4.8],"Six-month Survival (NUMBER) percentage of participants = 36; Number of Participants With a Complete Response (CR) or a Partial Response (PR) (Central Nervous System [CNS]-Radiologic) (NUMBER) participants = 23; Time to Response (TTR) (CNS-radiologic) (MEDIAN) weeks = 8.0 [7.7-8.1]; Time to Progression (TTP) (CNS-radiologic) (MEDIAN) weeks = 9.7 [8.1-13.9]; Time to Progression (TTP) (All Sites of Disease-radiologic) (MEDIAN) weeks = 8.0 [6.7-8.7]; Number of Participants Who Ranked Each Individual Indicated Neurological Sign and Symptom as None, Mild, Moderate, or Severe at Months 1 and 3 (NUMBER) participants = 93; Number of Participants With the Indicated Investigator Assessment for the Neurological Sign and Symptom of Level of Consciousness at Baseline, Month 1, and Month 3 (NUMBER) participants = 219; Number of Participants With the Indicated Investigator Assessment for the Neurological Sign and Symptom of Headache at Baseline, Month 1, and Month 3 (NUMBER) participants = 141; Number of Participants With the Indicated Investigator Assessment for the Neurological Sign and Symptom of Dizziness/Lightheadedness at Baseline, Month 1, and Month 3 (NUMBER) participants = 160; Number of Participants With the Indicated Investigator Assessment for the Neurological Sign and Symptom of Vertigo at Baseline, Month 1, and Month 3 (NUMBER) participants = 180; Number of Participants With the Indicated Investigator Assessment for the Neurological Sign and Symptom of Nausea/Vomiting at Baseline, Month 1, and Month 3 (NUMBER) participants = 203; Number of Participants With the Indicated Investigator Assessment for the Neurological Sign and Symptom of Visual Problem at Baseline, Month 1, and Month 3 (NUMBER) participants = 181; Number of Participants With the Indicated Investigator Assessment for the Neurological Sign and Symptom of Seizure at Baseline, Month 1, and Month 3 (NUMBER) participants = 218; Number of Participants With the Indicated Investigator Assessment for the Neurological Sign and Symptom of Other Neurological Symptoms at Baseline, Month 1, and Month 3 (NUMBER) participants = 219; Number of Participants With the Indicated Investigator Assessment of Cranial Nerves II-XII at Baseline, Month 1, and Month 3 (NUMBER) participants = 218; Number of Participants With the Indicated Investigator Assessment of Language (Dysphasia or Aphasia) at Baseline, Month 1, and Month 3 (NUMBER) participants = 211; Number of Participants With the Indicated Investigator Assessment of Strength (Right Upper Extremity) at Baseline, Month 1, and Month 3 (NUMBER) participants = 203; Number of Participants With the Indicated Investigator Assessment of Strength (Left Upper Extremity) at Baseline, Month 1, and Month 3 (NUMBER) participants = 197; Number of Participants With the Indicated Investigator Assessment of Strength (Right Lower Extremity) at Baseline, Month 1, and Month 3 (NUMBER) participants = 196; Number of Participants With the Indicated Investigator Assessment of Strength (Left Lower Extremity) at Baseline, Month 1, and Month 3 (NUMBER) participants = 182; Number of Participants With the Indicated Investigator Assessment of Sensation at Baseline, Month 1, and Month 3 (NUMBER) participants = 197; Number of Participants With the Indicated Investigator Assessment of Ataxia (Right Upper Extremity: Finger to Nose Testing) at Baseline, Month 1, and Month 3 (NUMBER) participants = 206; Number of Participants With the Indicated Investigator Assessment of Ataxia (Left Upper Extremity: Finger to Nose Testing) at Baseline, Month 1, and Month 3 (NUMBER) participants = 199; Number of Participants With the Indicated Investigator Assessment of Ataxia (Gait) at Baseline, Month 1, and Month 3 (NUMBER) participants = 172; Number of Participants With the Indicated Investigator Assessment of Ataxia (Balance) at Baseline, Month 1, and Month 3 (NUMBER) participants = 153; Number of Participants With Any Adverse Event (AE; Both Serious and Non-serious) or Serious Adverse Event (SAE) (NUMBER) participants = 204; Number of Participants With the Indicated Worst-case Change From Baseline in the Indicated Chemistry Parameters With Respect to the Normal Range (NUMBER) participants = 32; ; ; Number of Participants Who Died or Progressed (NUMBER) participants = 179",,Number of Participants With a Complete Response (CR) or a Partial Response (PR) (Central Nervous System [CNS]-Radiologic) (NUMBER) participants = 23,,,,,,,Overall Survival (MEDIAN) months = 4.0 [3.4-4.8],,Number of Participants With a Complete Response (CR) or a Partial Response (PR) (Central Nervous System [CNS]-Radiologic) (NUMBER) participants = 23,,,,,Time to Progression (TTP) (CNS-radiologic) (MEDIAN) weeks = 9.7 [8.1-13.9]; Time to Progression (TTP) (All Sites of Disease-radiologic) (MEDIAN) weeks = 8.0 [6.7-8.7]
NCT00391274,Chemotherapy for Patients With Non-Small Cell Lung Cancer (NSCLC),Phase 3 Study of Pemetrexed Versus Docetaxel in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer Who Have Had Prior Chemotherapy,Eli Lilly and Company,Eli Lilly and Company,INDUSTRY,COMPLETED,2006-10,2008-12,2010-06,INTERVENTIONAL,PHASE3,,,,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,1,2,2,DRUG,,,1,4,True,Yes,Overall Survival (MEDIAN) months = 11.7,Overall Tumor Response (NUMBER) participants = 0; Progression-Free Survival (PFS) (MEDIAN) months = 2.8 [1.8-3.1]; ; Pharmacology Toxicity (NUMBER) participants = 1,,,,,,,,,Overall Survival (MEDIAN) months = 11.7,Progression-Free Survival (PFS) (MEDIAN) months = 2.8 [1.8-3.1],,,,Pharmacology Toxicity (NUMBER) participants = 1,,
NCT00400829,E7389 in Treating Patients With Recurrent or Progressive Stage IIIB or Stage IV Non-Small Cell Lung Cancer,A Phase 2 Study of the Halichondrin B Analog E7389 in Patients With Advanced Non-Small Cell Lung Cancer (NSCLC) Previously Treated With a Taxane,National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,COMPLETED,2006-11,2011-01,2011-01,INTERVENTIONAL,PHASE2,,,,Recurrent Non-small Cell Lung Cancer,Recurrent Non-small Cell Lung Cancer; Stage IIIB Non-small Cell Lung Cancer; Stage IV Non-small Cell Lung Cancer,3,1,1,DRUG,,,1,2,True,Yes,Objective Response Rate (CR or PR) According to RECIST Criteria (NUMBER) percentage of patients responding = 5,Overall Survival (MEDIAN) Months = 11.6 [8.2-13.7]; Progression Free Survival (MEDIAN) Months = 2.7 [1.3-3.9],,,,,,,,Objective Response Rate (CR or PR) According to RECIST Criteria (NUMBER) percentage of patients responding = 5,Overall Survival (MEDIAN) Months = 11.6 [8.2-13.7],Progression Free Survival (MEDIAN) Months = 2.7 [1.3-3.9],Objective Response Rate (CR or PR) According to RECIST Criteria (NUMBER) percentage of patients responding = 5,,Objective Response Rate (CR or PR) According to RECIST Criteria (NUMBER) percentage of patients responding = 5,,,
NCT00402051,Chemotherapy With Pemetrexed in Combination With Platinum for Advanced Non-Small Cell Lung Cancer (NSCLC),A Randomized Phase 2 Study of Pemetrexed in Combination With Cisplatin or Carboplatin in the First Line Therapy of Advanced NSCLC,Eli Lilly and Company,Eli Lilly and Company,INDUSTRY,COMPLETED,2006-11,2008-12,2009-05,INTERVENTIONAL,PHASE2,,,,Non-Small-Cell Lung Cancer,Non-Small-Cell Lung Cancer,1,2,3,DRUG,,,1,4,True,Yes,Percentage of Participants Surviving Progression-Free at 6 Months (Progression Free Survival [PFS] Rate) (NUMBER) percentage = 52.8 [40.3-65.3],Overall Survival (MEDIAN) months = 11.7 [9.2-14.9]; Number of Participants With Tumor Response (as Basis for Response Rate) (NUMBER) participants = 21; Time to Treatment Failure (TTF) (MEDIAN) months = 3.0 [2.3-4.6]; Pharmacology Toxicities (NUMBER) participants = 29,,,,,,,,,Overall Survival (MEDIAN) months = 11.7 [9.2-14.9],Percentage of Participants Surviving Progression-Free at 6 Months (Progression Free Survival [PFS] Rate) (NUMBER) percentage = 52.8 [40.3-65.3],,,Number of Participants With Tumor Response (as Basis for Response Rate) (NUMBER) participants = 21,,Time to Treatment Failure (TTF) (MEDIAN) months = 3.0 [2.3-4.6],
NCT00404924,ZD6474 (ZACTIMA™) Phase III Study in EGFR Failures,A Phase III Study to Assess the Efficacy of ZD6474 (ZACTIMA™) Plus Best Supportive Care Versus Best Supportive Care in Patients With Locally Advanced or Metastatic (Stage IIIB-IV) Non-Small Cell Lung ,Sanofi,"Genzyme, a Sanofi Company",INDUSTRY,COMPLETED,2006-11,2009-10,2014-11,INTERVENTIONAL,PHASE3,,,,Non-Small-Cell Lung Carcinoma,Non-Small-Cell Lung Carcinoma,1,2,2,DRUG; OTHER,,,1,5,True,Yes,Overall Survival (OS) (MEDIAN) Months = 8.5 [7.81-9.76],Progression-Free Survival (PFS) (MEDIAN) month = 1.9 [1.84-2.23]; Objective Response Rate (ORR) (NUMBER) Participants = 16; Disease Control Rate (DCR) (NUMBER) Participants = 189; Duration of Response (DoR) (MEDIAN) Weeks = 23.9 [16.57-27.00]; Time to Deterioration of Disease-related Symptoms (TDS) by Questionnaire - the Lung Cancer Subscale (LCS) a Selection of the FACT-L Focusing on Symptoms of Lung Cancer Plus Pain and Fatigue (LCS-PF) (MEDIAN) weeks = 6.1 [5.14-8.14],,,,,Duration of Response (DoR) (MEDIAN) Weeks = 23.9 [16.57-27.00],,,Objective Response Rate (ORR) (NUMBER) Participants = 16,Overall Survival (OS) (MEDIAN) Months = 8.5 [7.81-9.76],Progression-Free Survival (PFS) (MEDIAN) month = 1.9 [1.84-2.23],,,Objective Response Rate (ORR) (NUMBER) Participants = 16,,,
NCT00408460,Imatinib Mesylate and Paclitaxel in Treating Older Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer,A Phase II Study of Intermittent Gleevec® (Imatinib Mesylate) and Weekly Paclitaxel in Patients Aged 70 or Older With Advanced Non-Small Cell Lung Cancer,University of Washington,University of Washington,OTHER,COMPLETED,2006-02,2010-08,2012-10,INTERVENTIONAL,PHASE2,,,,Malignant Pleural Effusion,Malignant Pleural Effusion; Recurrent Non-small Cell Lung Cancer; Stage IIIB Non-small Cell Lung Cancer,4,1,2,DRUG,,,1,2,True,Yes,Overall Response Rate (Complete and Partial Responses) as Assessed by RECIST Criteria (COUNT_OF_PARTICIPANTS) Participants = 11,Time to Tumor Progression (MEDIAN) months = 3.6 [0.5-103]; Overall Survival (MEDIAN) months = 7.3 [0.5-60],,,,,,,,,Overall Survival (MEDIAN) months = 7.3 [0.5-60],,Overall Response Rate (Complete and Partial Responses) as Assessed by RECIST Criteria (COUNT_OF_PARTICIPANTS) Participants = 11,,Overall Response Rate (Complete and Partial Responses) as Assessed by RECIST Criteria (COUNT_OF_PARTICIPANTS) Participants = 11,,,
NCT00409006,Chemotherapy for Patients With Non-Small Cell Lung Cancer Who Are Non-Smokers,"A Phase 2 Trial of Pemetrexed and Cisplatin Followed Sequentially by Gefitinib Versus Pemetrexed and Cisplatin in Asian ""Never Smoker"" Patients With Advanced Non-Small Cell Lung Cancer",Eli Lilly and Company,Eli Lilly and Company,INDUSTRY,COMPLETED,2007-02,2009-08,2010-05,INTERVENTIONAL,PHASE2,,,,Non-small Cell Lung Cancer,Non-small Cell Lung Cancer,1,2,3,DRUG,,,1,3,True,Yes,Progression-Free Survival (PFS) (MEDIAN) Months = 9.95 [5.85-16.49],Number of Participants With Tumor Response (NUMBER) Participants = 18 [30.1-62.8]; Duration of Response for Responders (MEDIAN) Months = 12.29 [8.51-15.31]; ,,,,,Duration of Response for Responders (MEDIAN) Months = 12.29 [8.51-15.31],,,,,Progression-Free Survival (PFS) (MEDIAN) Months = 9.95 [5.85-16.49],,,,,,
NCT00409188,Cancer Vaccine Study for Unresectable Stage III Non-small Cell Lung Cancer (START),"A Multi-center Phase III Randomized, Double-blind Placebo-controlled Study of the Cancer Vaccine Stimuvax® (L-BLP25 or BLP25 Liposome Vaccine) in Non-small Cell Lung Cancer (NSCLC) Subjects With Unres",EMD Serono,EMD Serono,INDUSTRY,COMPLETED,2007-01,2012-04,2015-04,INTERVENTIONAL,PHASE3,,,,Non-small Cell Lung Cancer,Non-small Cell Lung Cancer,1,2,3,BIOLOGICAL; DRUG,,,1,4,True,Yes,Overall Survival (MEDIAN) months = 25.6 [22.5-29.2],"Time To Symptom Progression (TTSP) as Measured by the Lung Cancer Symptom Scale (LCSS) (MEDIAN) months = 14.2 [12.9-15.7]; Time To Progression (TTP) (MEDIAN) months = 10.0 [9.1-11.5]; One-, Two- and Three-year Survival Rate (NUMBER) percentage of participants = 77.0; Number of Participants With Treatment Emergent Adverse Events and Injection Site Reactions (NUMBER) participants = 938",,,,,,,,,Overall Survival (MEDIAN) months = 25.6 [22.5-29.2],,,,,Number of Participants With Treatment Emergent Adverse Events and Injection Site Reactions (NUMBER) participants = 938,,Time To Progression (TTP) (MEDIAN) months = 10.0 [9.1-11.5]
