Trial_ID,Title,Has_Outcome_Data,Primary_Outcome_Count,Secondary_Outcome_Count,Primary_Outcomes,Secondary_Outcomes,CBR,CR,DFS,DMFS,DoR,EFS,LRFS,ORR,OS,PFS,PR,QOL,RR,TOX,TTF,TTP
NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,True,3,13,Response Rate (NUMBER) percentage of participants = 6 [1-20]; Progression Free Survival (MEDIAN) months = 3.4 [1.9-3.7]; The Number of Participants With Adverse Events (NUMBER) Participants = 37,"Overall Survival (MEDIAN) months = 11.6 [9.2-16.4]; ; Overall Survival Reported Separately for Participants With a Change in PLGF Below 11 pg/ml and Above 12 pg/ml (MEDIAN) months = 6.6 [4.9-9.2]; Cytokine Levels (MEDIAN) pg/ml = 101 [69-204]; Correlation of Response to Treatment With KRAS Mutational Status (NUMBER) percentage of participants = 60; Overall Survival Associated With Basic Fibroblast Growth Factor (bFGF) (MEDIAN) months = 15.4 [9.2-31.2]; Progression Free Survival Associated With Basic Fibroblast Growth Factor (bFGF) (MEDIAN) months = 4.4 [3.1-5.5]; Percentage of Participants With an Increase or Decrease in the Reverse Contrast Transfer Rate (Kep), Forward Contrast Transfer Rate (Ktrans), and Extravascular Fraction (Ve) With the Dynamic Contrast Enhanced Magnetic Resonance Imaging (DCE-MRI) (NUMBER) Percentage of participants = 19; ; ; ; ; ",,,,,,,,,Overall Survival (MEDIAN) months = 11.6 [9.2-16.4]; Overall Survival Reported Separately for Participants With a Change in PLGF Below 11 pg/ml and Above 12 pg/ml (MEDIAN) months = 6.6 [4.9-9.2]; Overall Survival Associated With Basic Fibroblast Growth Factor (bFGF) (MEDIAN) months = 15.4 [9.2-31.2],Progression Free Survival (MEDIAN) months = 3.4 [1.9-3.7]; Progression Free Survival Associated With Basic Fibroblast Growth Factor (bFGF) (MEDIAN) months = 4.4 [3.1-5.5],,,Response Rate (NUMBER) percentage of participants = 6 [1-20],The Number of Participants With Adverse Events (NUMBER) Participants = 37,,
NCT00100932,"Phase II Study Of E7389, Halichondrin B Analogue, In Patients With Advanced Non-Small Cell Lung Canc",True,1,3,Overall Objective Response Rate (ORR) (NUMBER) percentage of participants = 11.7,Duration of Response (MEDIAN) Days = 171 [50-291]; Progression Free Survival (MEDIAN) Days = 106 [1-408]; ,,,,,Duration of Response (MEDIAN) Days = 171 [50-291],,,Overall Objective Response Rate (ORR) (NUMBER) percentage of participants = 11.7,,Progression Free Survival (MEDIAN) Days = 106 [1-408],,,Overall Objective Response Rate (ORR) (NUMBER) percentage of participants = 11.7,,,
NCT00102804,Pemetrexed and Best Supportive Care Versus Placebo and Best Supportive Care in Non-Small Cell Lung C,True,1,6,Progression-Free Survival (PFS) Time (MEDIAN) months = 4.27 [4.07-4.73],Overall Survival (OS) Time (MEDIAN) months = 13.37 [11.93-15.87]; Time to Objective Progressive Disease (TPD) (MEDIAN) months = 4.27 [4.11-4.73]; Time to Worsening of Symptoms (TWS) (MEDIAN) months = 3.78 [2.86-4.44]; Percentage of Participants With a Complete Response (CR) or Partial Response (PR) (Objective Tumor Response Rate) (NUMBER) percentage of participants = 6.8 [5-10]; Number of Participants With Adverse Events (AEs) (NUMBER) participants = 83; Maximum Improvement Over Baseline in Individual Symptom Scores and Quality of Life Using the LCSS (MEAN) units on a scale = 7.3,,Percentage of Participants With a Complete Response (CR) or Partial Response (PR) (Objective Tumor Response Rate) (NUMBER) percentage of participants = 6.8 [5-10],,,,,,,Overall Survival (OS) Time (MEDIAN) months = 13.37 [11.93-15.87],Progression-Free Survival (PFS) Time (MEDIAN) months = 4.27 [4.07-4.73],Percentage of Participants With a Complete Response (CR) or Partial Response (PR) (Objective Tumor Response Rate) (NUMBER) percentage of participants = 6.8 [5-10],Maximum Improvement Over Baseline in Individual Symptom Scores and Quality of Life Using the LCSS (MEAN) units on a scale = 7.3,Percentage of Participants With a Complete Response (CR) or Partial Response (PR) (Objective Tumor Response Rate) (NUMBER) percentage of participants = 6.8 [5-10],Number of Participants With Adverse Events (AEs) (NUMBER) participants = 83,,
NCT00111839,Effects of Matuzumab in Combination With Pemetrexed for the Treatment of Advanced Lung Cancer,True,1,4,Number of Participants With Objective Response Assessed by Independent Review Committee (NUMBER) participants = 2 [1-14],"Overall Survival (OS) (MEDIAN) months = 7.9 [7.2-9.9]; Progression-Free Survival (PFS) (MEDIAN) months = 2.7 [1.6-4.4]; ; Change From Baseline to Cycle 2 in Global Quality of Life (QoL), as Assessed Using Lung Cancer Symptom Scale (LCSS) (MEAN) units on a scale = 35.9",,,,,,,,,Overall Survival (OS) (MEDIAN) months = 7.9 [7.2-9.9],Progression-Free Survival (PFS) (MEDIAN) months = 2.7 [1.6-4.4],,"Change From Baseline to Cycle 2 in Global Quality of Life (QoL), as Assessed Using Lung Cancer Symptom Scale (LCSS) (MEAN) units on a scale = 35.9",,,,
NCT00112294,Study of Taxane/Carboplatin +/- Cetuximab as First-Line Treatment for Patients With Advanced/Metasta,True,1,15,Median Number of Months of Progression-free Survival (PFS) (MEDIAN) Months = 4.40 [4.11-5.06],"Number of Participants With Complete Response (CR) or Partial Response (PR) (NUMBER) Participants = 87; Number of Participants With Complete Response (CR), Partial Response (PR) or Stable Disease (SD) (NUMBER) Participants = 230; Median Number of Months of Response (MEDIAN) Months = 5.55 [4.40-6.83]; Median Number of Months to Response (MEDIAN) Months = 1.38 [1.08-12.65]; Median Number of Months of Survival (MEDIAN) Months = 9.69 [8.28-11.50]; Number of Participants With Improvement of Symptoms (NUMBER) Participants = 107; ; Number of Participants Who Died, or Experienced Other Serious Adverse Events (SAEs) and Adverse Events (AEs) (NUMBER) Participants = 38; Number of Participants Experiencing AEs Leading to Study Drug Discontinuation (NUMBER) participants = 100; Number of Participants Experiencing Other Significant AEs: Acneform Rash (NUMBER) Participants = 246; Number of Participants Experiencing Other Significant AEs: Infusion Reaction (NUMBER) Participants = 45; Number of Participants Experiencing Other Significant AEs: Cardiac AEs (NUMBER) Participants = 58; Number of Participants Who Exprienced the Most Frequent Grade 3-4 Hematology Abnormalities Occurring in >=5% Participants (NUMBER) Participants = 198; Number of Participants Who Experienced the Most Frequent Grade 3-4 Serum Chemistry Abnormalities Occurring in >=5% Participants (NUMBER) Participants = 33; ",,"Number of Participants With Complete Response (CR) or Partial Response (PR) (NUMBER) Participants = 87; Number of Participants With Complete Response (CR), Partial Response (PR) or Stable Disease (SD) (NUMBER) Participants = 230",,,,,,,,Median Number of Months of Progression-free Survival (PFS) (MEDIAN) Months = 4.40 [4.11-5.06],"Number of Participants With Complete Response (CR) or Partial Response (PR) (NUMBER) Participants = 87; Number of Participants With Complete Response (CR), Partial Response (PR) or Stable Disease (SD) (NUMBER) Participants = 230",,,"Number of Participants Who Died, or Experienced Other Serious Adverse Events (SAEs) and Adverse Events (AEs) (NUMBER) Participants = 38; Number of Participants Experiencing AEs Leading to Study Drug Discontinuation (NUMBER) participants = 100",,
NCT00113516,A Study Of SU011248 As Therapy In Patients With Locally Advanced Or Metastatic Non-Small Cell Lung C,True,1,36,Proportion of Subjects Surviving at One Year (NUMBER) proportion = 0.405,Progression-free Survival (PFS) (MEDIAN) weeks = 23.1 [21.4-28.2]; Time to Tumor Progression (TTP) (MEDIAN) weeks = 23.6 [22.6-29.3]; Duration of Response (DR) (MEDIAN) weeks = 27.3 [16.3-40.1]; Number of Subjects With Overall Confirmed Objective Disease Response (NUMBER) participants = 23; Overall Survival (OS) (MEDIAN) months = 10.4 [8.1-12.2]; Trough Plasma Concentration (Ctrough) of Sunitinib (MEAN) nanograms (ng)/milliliter (mL) = 57.69; Ctrough of SU-012662 (Sunitinib's Metabolite) (MEAN) ng/mL = 27.54; Ctrough of Total Drug (Sunitinib + SU-012662) (MEAN) ng/mL = 85.23; Dose-Corrected Ctrough of Sunitinib (MEAN) ng/mL = 64.10; Dose-Corrected Ctrough of SU-012662 (Sunitinib's Metabolite) (MEAN) ng/mL = 27.90; Dose-Corrected Ctrough of Total Drug (Sunitinib + SU-012662) (MEAN) ng/mL = 92.00; Vascular Endothelial Growth Factor Receptor 3 (VEGFR3) Concentration at Baseline (MEAN) picograms (pg)/milliliter (mL) = 30382.83; VEGFR3 Ratio to Baseline at Each Time Point (MEAN) ratio = 0.39; VEGF-C Concentration at Baseline (MEAN) pg/mL = 793.19; VEGF-C Ratio to Baseline at Each Time Point (MEAN) ratio = 0.81; Soluble E-Selectin at Baseline (MEAN) nanograms (ng)/mL = 27.06; Soluble E-Selectin Ratio to Baseline at Each Time Point (MEAN) ratio = 0.83; VEGFR3 at Baseline Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) pg/mL = 21660.00; VEGFR3 Ratio to Baseline at Each Time Point Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) ratio = 0.34; VEGF-C at Baseline Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) pg/mL = 704.80; VEGF-C Ratio to Baseline at Each Time Point Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) ratio = 0.73; Soluble E-Selectin at Baseline Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) pg/mL = 26.40; Soluble E-Selectin Ratio to Baseline at Each Time Point Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) ratio = 0.84; Comparison of Kaplan-Meier PFS Curves After Stratification by < or > = Median Levels of VEGFR3 at Baseline and Changes From Baseline (MEDIAN) weeks = 13.1 [10.11-32.91]; Comparison of Kaplan-Meier PFS Curves After Stratification by < or > = Median Levels of VEGF-C at Baseline and Changes From Baseline (MEDIAN) weeks = 16.1 [10.97-32.91]; Comparison of Kaplan-Meier PFS Curves After Stratification by < or > = Median Levels of Soluble E-Selectin at Baseline and Changes From Baseline (MEDIAN) weeks = 11.1 [9.12-22.51]; Comparison of Kaplan-Meier TTP Curves After Stratification by < or > = Median Levels of VEGFR3 at Baseline and Changes From Baseline (MEDIAN) weeks = 15.8 [10.83-32.91]; Comparison of Kaplan-Meier TTP Curves After Stratification by < or > = Median Levels of VEGF-C at Baseline and Changes From Baseline (MEDIAN) weeks = 16.1 [10.97-32.91]; Comparison of Kaplan-Meier TTP Curves After Stratification by < or > = Median Levels of Soluble E-Selectin at Baseline Changes From Baseline (MEDIAN) weeks = 11.1 [9.97-43.30]; Comparison of Kaplan-Meier OS Curves After Stratification by < or > = Median Levels of VEGFR3 at Baseline Changes From Baseline (MEDIAN) months = 8.7 [6.55-20.53]; Comparison of Kaplan-Meier OS Curves After Stratification by < or > = Median Levels of VEGF-C at Baseline and Changes From Baseline (MEDIAN) months = 8.5 [6.32-15.76]; Comparison of Kaplan-Meier OS Curves After Stratification by < or > = Median Levels of Soluble E-Selectin at Baseline and Changes From Baseline (MEDIAN) months = 6.5 [4.24-12.66]; ; ; Change From Baseline in Health Related Quality of Life (HRQOL) and Lung Cancer Related Symptoms as Assessed With the European Organization for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire (EORTC QLQ-C30) (MEAN) scores on a scale = -1.54; Change From Baseline in HRQOL and Lung Cancer Related Symptoms as Assessed With the EORTC QLQ Lung Cancer Module (QLQ-LC13) (MEAN) scores on a scale = 3.40,,,,,Duration of Response (DR) (MEDIAN) weeks = 27.3 [16.3-40.1],,,,Overall Survival (OS) (MEDIAN) months = 10.4 [8.1-12.2]; Comparison of Kaplan-Meier OS Curves After Stratification by < or > = Median Levels of VEGFR3 at Baseline Changes From Baseline (MEDIAN) months = 8.7 [6.55-20.53]; Comparison of Kaplan-Meier OS Curves After Stratification by < or > = Median Levels of VEGF-C at Baseline and Changes From Baseline (MEDIAN) months = 8.5 [6.32-15.76]; Comparison of Kaplan-Meier OS Curves After Stratification by < or > = Median Levels of Soluble E-Selectin at Baseline and Changes From Baseline (MEDIAN) months = 6.5 [4.24-12.66],Progression-free Survival (PFS) (MEDIAN) weeks = 23.1 [21.4-28.2]; Comparison of Kaplan-Meier PFS Curves After Stratification by < or > = Median Levels of VEGFR3 at Baseline and Changes From Baseline (MEDIAN) weeks = 13.1 [10.11-32.91]; Comparison of Kaplan-Meier PFS Curves After Stratification by < or > = Median Levels of VEGF-C at Baseline and Changes From Baseline (MEDIAN) weeks = 16.1 [10.97-32.91]; Comparison of Kaplan-Meier PFS Curves After Stratification by < or > = Median Levels of Soluble E-Selectin at Baseline and Changes From Baseline (MEDIAN) weeks = 11.1 [9.12-22.51],VEGFR3 at Baseline Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) pg/mL = 21660.00; VEGFR3 Ratio to Baseline at Each Time Point Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) ratio = 0.34; VEGF-C at Baseline Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) pg/mL = 704.80; VEGF-C Ratio to Baseline at Each Time Point Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) ratio = 0.73; Soluble E-Selectin at Baseline Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) pg/mL = 26.40; Soluble E-Selectin Ratio to Baseline at Each Time Point Stratified by Tumor Response (CR or PR or [SD > = 6 Weeks] or PD) (NUMBER) ratio = 0.84,Change From Baseline in Health Related Quality of Life (HRQOL) and Lung Cancer Related Symptoms as Assessed With the European Organization for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire (EORTC QLQ-C30) (MEAN) scores on a scale = -1.54; Change From Baseline in HRQOL and Lung Cancer Related Symptoms as Assessed With the EORTC QLQ Lung Cancer Module (QLQ-LC13) (MEAN) scores on a scale = 3.40,,,,Comparison of Kaplan-Meier TTP Curves After Stratification by < or > = Median Levels of VEGFR3 at Baseline and Changes From Baseline (MEDIAN) weeks = 15.8 [10.83-32.91]; Comparison of Kaplan-Meier TTP Curves After Stratification by < or > = Median Levels of VEGF-C at Baseline and Changes From Baseline (MEDIAN) weeks = 16.1 [10.97-32.91]; Comparison of Kaplan-Meier TTP Curves After Stratification by < or > = Median Levels of Soluble E-Selectin at Baseline Changes From Baseline (MEDIAN) weeks = 11.1 [9.97-43.30]
NCT00118144,Bortezomib in Treating Patients With Stage IIIB or Stage IV Lung Cancer,True,1,2,Objective Response Rate With Bortezomib Evaluated by Both RECIST Criteria and Computer-assisted Image Analysis. (NUMBER) percentage of responders = 5,Progression-free Survival (MEDIAN) Months = 5.5 [2.1-6.4]; Overall Survival (MEAN) Months = 13.6,,,,,,,,Objective Response Rate With Bortezomib Evaluated by Both RECIST Criteria and Computer-assisted Image Analysis. (NUMBER) percentage of responders = 5,Overall Survival (MEAN) Months = 13.6,Progression-free Survival (MEDIAN) Months = 5.5 [2.1-6.4],,,Objective Response Rate With Bortezomib Evaluated by Both RECIST Criteria and Computer-assisted Image Analysis. (NUMBER) percentage of responders = 5,,,
NCT00130728,A Study to Evaluate the Efficacy of Bevacizumab in Combination With Tarceva for Advanced Non-Small C,True,1,3,Overall Survival (OS) Among All Randomized Patients (MEDIAN) months = 9.3 [7.39-11.47],Progression-free Survival (PFS) (MEDIAN) months = 3.4 [2.79-4.27]; Percentage of Participants With Objective Response (NUMBER) Percentage of participants = 12.6 [9.1-16.8]; Duration of Objective Response (MEDIAN) months = 9.7 [6.90-19.48],,,,,,,,,Overall Survival (OS) Among All Randomized Patients (MEDIAN) months = 9.3 [7.39-11.47],Progression-free Survival (PFS) (MEDIAN) months = 3.4 [2.79-4.27],,,,,,
NCT00137839,Erlotinib in Women With Previously Untreated Adenocarcinoma of the Lung,True,1,3,Overall Response Rate (ORR) (NUMBER) percentage of participants = 27.7 [18.5-38.7],Overall Response Rate (ORR) by EGFR Mutation Status (NUMBER) percentage of participants = 56.4 [39.6-72.2]; Overall Survival (OS) (MEDIAN) months = 22.9 [15.7-26.5]; Overall Survival by EGFR Mutation Status (MEDIAN) months = 32.6 [24.4-44.0],,,,,,,,,Overall Survival (OS) (MEDIAN) months = 22.9 [15.7-26.5]; Overall Survival by EGFR Mutation Status (MEDIAN) months = 32.6 [24.4-44.0],,,,Overall Response Rate (ORR) (NUMBER) percentage of participants = 27.7 [18.5-38.7]; Overall Response Rate (ORR) by EGFR Mutation Status (NUMBER) percentage of participants = 56.4 [39.6-72.2],,,
NCT00138203,"Suberoylanilide Hydroxamic Acid in Treating Patients With Stage IIIB, Stage IV, or Recurrent Non-Sma",True,1,3,Response Per RECIST Criteria (NUMBER) participants = 0,Time to Progression (MEDIAN) months = 2.3 [.9-19.4]; Overall Survial (MEDIAN) months = 7.1 [1.4-30]; Toxicity (COUNT_OF_PARTICIPANTS) Participants = 16,,,,,,,,,,,,,,Toxicity (COUNT_OF_PARTICIPANTS) Participants = 16,,Time to Progression (MEDIAN) months = 2.3 [.9-19.4]
