nct_id,official_title,experimental_drugs,biomarkers,primary_outcomes,efficacy_status,reasoning
NCT00606021,"A Randomized Phase 2 Study Comparing Pemetrexed Plus Best Supportive Care With Best Supportive Care as Maintenance, Following First-Line Treatment With Pemetrexed-Cisplatin, in Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer",pemetrexed,Unselected,"The primary endpoint, Progression Free Survival (PFS) during the maintenance phase, showed a median PFS of 3.2 months for both the pemetrexed plus best supportive care group (95% CI: 2.9, 6.1) and the best supportive care group (95% CI: 2.2, 4.3). The Hazard Ratio was 0.76 (95% CI: 0.42, 1.37) with a p-value of 0.1815.",NEGATIVE,"The primary endpoint's p-value (0.1815) is not less than 0.05, and the 95% Confidence Interval for the Hazard Ratio (0.42, 1.37) crosses 1.0, indicating no statistically significant benefit according to conventional thresholds and the specified rules for efficacy status."
NCT00606502,"A Randomized, Phase 2b, Multi-center Study of Pralatrexate Versus Erlotinib in Patients With Stage IIIB/IV Non-small Cell Lung Cancer After Failure of at Least 1 Prior Platinum-based Treatment",Pralatrexate,Unselected,"The primary endpoint, Overall Survival (OS), showed no statistically significant difference between the Pralatrexate arm (median OS 6.7 months; 95% CI 5.3-9.0) and the Erlotinib arm (median OS 7.0 months; 95% CI 3.9-7.9). The Cox Proportional Hazard Ratio was 0.84 (95% CI 0.61-1.14).",NEGATIVE,"The 95% Confidence Interval for the Hazard Ratio of the primary endpoint, Overall Survival (0.61-1.14), crosses 1.0, indicating that the primary endpoint did not achieve statistical significance."
NCT00609518,Pemetrexed With Simplified Folate and Dexamethasone Supplementation Versus Pemetrexed With Standard Supplementation as Second-line Chemotherapy for Patients With Non-squamous Non-small Cell Lung Cancer,Folic Acid; dexamethasone,Unselected,"The primary outcome, assessing the number of participants with drug-related Grade 3 or 4 toxicity, showed no statistically significant difference between the simplified vitamin and steroid schedule and the standard schedule. The risk difference was 0.09 (95% CI: -0.10, 0.28), with the confidence interval crossing zero.",NEGATIVE,"The primary endpoint, which was a safety outcome (Grade 3 or 4 toxicity), did not demonstrate a statistically significant difference between the two treatment arms (95% CI for risk difference crossed zero). Furthermore, all secondary efficacy endpoints (Overall Response Rate, Overall Survival, Progression-Free Survival) also showed no statistically significant differences (p-values > 0.05 or HR CIs crossing 1.0)."
NCT00609804,Randomized Phase II Trial of Sorafenib and Erlotinib or Sorafenib Alone in Patients With Advanced Non-Small Cell Lung Cancer Progressing on Erlotinib,Sorafenib; Erlotinib,Unselected,"The primary endpoint, median progression-free survival (PFS), was 3.1 months (95% CI: 1.7, 3.7) for the Sorafenib+Erlotinib arm and 1.9 months (95% CI: 1.7, 3.6) for the Sorafenib arm. The confidence intervals for both arms overlap considerably.",NEGATIVE,"The 95% confidence intervals for the median PFS of both treatment arms (Sorafenib+Erlotinib: 1.7-3.7 months; Sorafenib: 1.7-3.6 months) overlap, suggesting no statistically significant difference was observed for the primary endpoint."
NCT00614822,"A Phase II Trial of Carboplatin, Bevacizumab and Pemetrexed in Advanced Non-Small Cell Lung Cancer",Bevacizumab,Unselected,"This single-arm Phase II study evaluated the combination of Carboplatin, Pemetrexed, and Bevacizumab. The primary endpoints were Progression-Free Survival (PFS) and Overall Survival (OS). The median PFS was 28 weeks (95% CI: 0-132.4 weeks) and the median OS was 49 weeks (95% CI: 0-62.7 weeks). Among 47 evaluable patients, 1 achieved a Complete Response and 27 achieved a Partial Response, for an overall response rate of 59.6%.",UNCERTAIN,"This is a single-arm Phase II trial. The provided data includes median PFS and OS with 95% confidence intervals, but no p-values or comparative statistics (e.g., hazard ratios and their CIs) are reported against a predefined null hypothesis or a control arm. Therefore, it is not possible to determine if the primary endpoints 'met significance (p < 0.05)' as per the definition, leading to an 'UNCERTAIN' efficacy status."
NCT00621049,"Randomized Phase II Trial of Adjuvant Carboplatin, Docetaxel, Bevacizumab, and Erlotinib Versus Chemotherapy Alone in Patients With Resected Non-Small Cell Lung Cancer",Bevacizumab; Erlotinib,Unselected,"The primary endpoint, Disease-free Survival (DFS), was reported. For the experimental arm (Docetaxel/Carboplatin/Bevacizumab/Erlotinib), the median DFS could not be calculated due to an insufficient number of participants with events. For the control arm (Docetaxel and Carboplatin), the median DFS was 55.1 months (95% CI: 32.9 - NA), with the upper bound of the confidence interval also not calculable.",UNCERTAIN,"The efficacy status is 'UNCERTAIN' because the median DFS for the experimental arm could not be calculated, and no p-value or comparative hazard ratio with confidence intervals between the arms was provided to determine if the primary endpoint met statistical significance."
NCT00638937,"A Phase 2 Study of AZD0530 in Patients With Advanced, Recurrent Non-Small Cell Lung Cancer Who Have Previously Received Platinum-Based Combination Chemotherapy",saracatinib,Unselected,"The primary outcome, Rate of Disease Control (Freedom From Disease Progression) for at least 4 cycles (16 weeks), was achieved by 4 out of 37 participants (10.8%) in the saracatinib arm.",UNCERTAIN,"The provided data for the primary endpoint only reports the number of participants achieving disease control (4 out of 37). No p-value or confidence interval for this primary rate is reported, nor is there a comparative arm, which precludes an assessment of statistical significance. Therefore, the efficacy status is uncertain."
NCT00642473,A Phase II Trial Assessing Metronidazol Actavis 1% Topical Cream in the Prevention and Treatment of Erlotinib Associated Rash,Metronidazole Actavis,Unselected,"Primary outcomes assessed the percentage of participants with erlotinib-associated rash stratified by severity grade at Week 2 and Week 4. In the prevention arm, Metronidazole Actavis showed a higher percentage of Grade 0 facial rash (no rash) at both Week 2 (22% vs 11% standard) and Week 4 (25% vs 13% standard), and lower Grade 1 facial rash. However, for chest rash prevention, outcomes were mixed or showed no benefit (e.g., Grade 0 chest rash 56% vs 56% standard at Week 2, 63% vs 75% standard at Week 4). Some higher grade rashes (e.g., Grade 2 facial rash) were more frequent with Metronidazole at certain time points. In the treatment arm, Metronidazole Actavis generally led to a higher percentage of Grade 0 facial and chest rash at both Week 2 and Week 4, and reduced Grade 1/2 facial rash in some cases. However, at Week 4, Grade 2 facial rash was higher with Metronidazole (50% vs 25% standard). No statistical significance (p-values or confidence intervals) was reported.",MIXED,"The results from the primary endpoints are inconsistent across different rash locations (facial vs. chest), different rash severity grades, and time points (Week 2 vs. Week 4). While Metronidazole Actavis shows some favorable trends in reducing rash severity, particularly for facial rash and increasing Grade 0 rash percentage, there are also instances where it showed no clear benefit or even worse outcomes for specific rash types or grades. Crucially, no statistical significance was provided for any of the comparisons."
NCT00642759,"A Phase II Trial of Carboplatin, Abraxane, and Bevacizumab in Previously Untreated Patients With Advanced Non-Small Cell Lung Cancer",Bevacizumab,Unselected,The 6-month Progression Free Survival Rate was 74% (95% Confidence Interval: 57-97%).,POSITIVE,"This was a single-arm Phase II trial. The primary endpoint, 6-month Progression Free Survival Rate, showed a high value of 74% with a 95% confidence interval of 57-97%. In the context of advanced NSCLC and Phase II trials, this represents a strong signal of clinical activity. Although an explicit p-value against a null hypothesis is not provided, the confidence interval is well above thresholds typically considered for lack of activity, indicating a positive outcome for the experimental combination."
NCT00647426,A Phase II Study of Sorafenib in Combination With Carboplatin and Docetaxel in the First Line Treatment of Stage IIIB/IV Non-Small Cell Lung Cancer,Sorafenib,Unselected,"The primary outcome, the number of patients with stage IIIB/IV NSCLC response rate, did not report any data. The study stated that 'Sufficient data was not collected.' for both primary and secondary outcomes.",UNCERTAIN,"The primary outcome data, including participant counts, were not collected or reported, making it impossible to determine efficacy."
NCT00652340,"APRiCOT-L (Apricoxib in Combination Oncology Treatment - Lung) A Randomized, Double-Blind, Placebo-Controlled Multicenter Phase 2 Study of the Efficacy and Safety of Apricoxib in Combination With Erlotinib in Non-Small Cell Lung Cancer Patients",apricoxib,Unselected,"The primary endpoint, Time to Disease Progression (TDP), was a median of 1.80 months (95% CI: 1.40, 2.80) for the apricoxib/erlotinib arm and 2.10 months (95% CI: 1.40, 4.00) for the placebo/erlotinib arm. The experimental arm showed a numerically shorter median TDP.",NEGATIVE,"The primary endpoint (Time to Disease Progression) showed no benefit for the experimental arm (apricoxib/erlotinib), with a numerically shorter median TDP (1.80 months) compared to the control arm (2.10 months). The 95% confidence intervals for both arms widely overlap, indicating no statistically significant improvement."
NCT00654030,Allogeneic Cellular Vaccine 1650-G for Non-Small Cell Lung Cancer (NSCLC),1650-G Vaccine,Unselected,"6 out of 11 participants showed an immunologic response to the vaccine (defined as >2 Standard Deviation increase from baseline levels pre-vaccine), as measured by IFN-ELISPOT.",UNCERTAIN,The primary endpoint reports raw counts of immunologic responders (6/11 participants) but no statistical significance (p-value or confidence interval) is provided to determine if the endpoint was met with statistical significance.
NCT00655850,Pilot Phase II Study of Metronomic Chemotherapy in Combination With Avastin in Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,Avastin,Unselected,"The primary endpoint, Progression-Free Survival (PFS), showed a median of 8.5 months (95% Confidence Interval: 5-10 months) in the single experimental arm.",UNCERTAIN,"This is a single-arm pilot Phase II study. While results for the primary endpoint (PFS) are reported, no p-value or comparison to a control arm is provided to determine statistical significance as per the defined criteria for POSITIVE (p < 0.05) or NEGATIVE (p >= 0.05 or CI crosses 1.0/0)."
NCT00661778,An Open Label Study to Assess the Effect of First-line Treatment With Avastin in Combination With Docetaxel and Cisplatin on Progression-free Survival in Patients With Metastatic or Locally Advanced Non-small Cell Lung Cancer,Bevacizumab,Unselected,"The primary outcome, Progression-free Survival, reported a median of 8.95 months (95% CI: 6.92, 9.97) for the Bevacizumab + Cisplatin + Docetaxel arm.",UNCERTAIN,"The primary endpoint, Progression-free Survival, reported descriptive results. However, this was a single-arm study, and no p-value for statistical significance against a comparator or predefined threshold was reported. Therefore, it is impossible to determine if the primary endpoint 'met significance' (p < 0.05) or 'failed' (p >= 0.05) as defined by the efficacy criteria. While results are posted, the status of statistical significance cannot be assessed based on the provided data."
NCT00668707,Adjuvant Melatonin for Prevention of Lung Cancer Recurrence and Mortality: A Randomized Placebo Controlled Clinical Trial,melatonin,Unselected,"The primary endpoint, Lung Cancer Recurrence or Mortality at 2 years, showed a Risk Ratio (RR) of 1.01 (95% CI: 0.83, 1.22) for melatonin compared to placebo.",NEGATIVE,"The p-value for the primary endpoint was 0.94, which is not statistically significant (p >= 0.05). Additionally, the 95% confidence interval for the Risk Ratio (0.83, 1.22) crosses 1.0, indicating no significant difference between the melatonin and placebo arms."
NCT00686959,"Phase 3 Study of Pemetrexed, Cisplatin, and Radiotherapy Followed by Consolidation Pemetrexed Versus Etoposide, Cisplatin, and Radiotherapy Followed by Consolidation Cytotoxic Chemotherapy of Choice in Patients With Unresectable, Locally Advanced, Stage III Non-Small Cell Lung Cancer Other Than Predominantly Squamous Cell Histology",Pemetrexed,Unselected,"The primary endpoint, Overall Survival (OS), showed no significant difference between the two treatment arms. Median OS for Pemetrexed + Cisplatin + TRT was 26.81 months (95% CI: 20.40, 30.92) compared to 24.97 months (95% CI: 22.18, 29.83) for Etoposide + Cisplatin + TRT. The Hazard Ratio was 0.98 (95% CI: 0.79, 1.20) with a p-value of 0.831.",NEGATIVE,"The primary endpoint (Overall Survival) failed to meet statistical significance with a p-value of 0.831 (p >= 0.05) and the 95% Confidence Interval for the Hazard Ratio (0.79, 1.20) crossed 1.0, indicating no statistically significant difference between the experimental and comparator arms."
NCT00687297,"A Randomized Phase II Study Evaluating Vandetanib (ZD6474) in Combination With Docetaxel and Carboplatin Followed by Placebo or Maintenance Therapy With Vandetanib in Patients With IIIb, IV or Recurrent Non-Small Cell Lung Cancer (NSCLC)",Vandetanib,Unselected,"The primary endpoint, Progression-free Survival, was reported as an overall median of 4.5 months (95% CI: 3.6, 4.9) for all randomized patients. No comparative analysis (e.g., p-value or Hazard Ratio) between the Vandetanib maintenance and placebo maintenance arms was provided for this primary outcome.",UNCERTAIN,"The provided data for the primary outcome (Progression-free Survival) reports an overall median for all randomized patients, but does not include a comparative statistical analysis (such as a p-value or Hazard Ratio comparing the experimental drug arm to the control arm). Therefore, the significance of the primary endpoint, as it relates to the efficacy of vandetanib maintenance versus placebo maintenance, cannot be determined from the provided information."
NCT00693992,"Randomized, Phase III, Double-Blind Placebo-Controlled Trial of Sunitinib (NSC #736511) as Maintenance Therapy in Non-progressing Patients Following an Initial Four Cycles of Platinum-Based Combination Chemotherapy in Advanced, Stage IIIB / IV Non-small Cell Lung Cancer",Sunitinib Malate,Unselected,"The primary endpoint, Progression Free Survival (PFS), was significantly improved in the Sunitinib Malate arm. Median PFS was 4.3 months (95% CI: 3.2, 4.9) for sunitinib malate compared to 2.6 months (95% CI: 1.8, 3.0) for placebo. The Hazard Ratio was 0.62 (95% CI: 0.47, 0.82), with a p-value of 0.0006.",POSITIVE,"The primary endpoint, Progression Free Survival (PFS), met statistical significance with a p-value of 0.0006 (< 0.05) and a Hazard Ratio of 0.62 (95% CI: 0.47, 0.82) which does not cross 1.0, indicating a clear benefit for sunitinib malate."
NCT00698815,A Randomized Phase II Study to Assess the Efficacy of Pemetrexed or Sunitinib (NSC # 736511) or Pemetrexed Plus Sunitinib in the Second-Line Treatment of Advanced Non-small Cell Lung Cancer,Sunitinib Malate; Pemetrexed Disodium,Unselected,The primary endpoint was the 18-week progression-free survival (PFS) rate. Arm I (Pemetrexed) had a PFS rate of 54% (95% CI: 40-71%). Arm II (Sunitinib) had a PFS rate of 37% (95% CI: 25-54%). Arm III (Pemetrexed and Sunitinib) had a PFS rate of 48% (95% CI: 35-66%). No statistical comparisons or p-values between arms were reported for the primary endpoint.,UNCERTAIN,"No p-values were reported for the primary endpoint (18-week PFS rate) to assess statistical significance between the treatment arms, nor against a predefined threshold. Therefore, it cannot be determined if the primary endpoint met or failed significance as per the given criteria."
NCT00700180,"A Randomized, Open-label Study to Explore the Correlation of Biomarkers With Response Rate in Chemo-naive Patients With Advanced or Recurrent Non-squamous Non-small Cell Lung Cancer Who Receive Treatment With Avastin in Addition to Carboplatin-based Chemotherapy",bevacizumab,Unselected,"The primary endpoint investigated the correlation of overall response rate with various baseline plasma biomarkers. A statistically significant correlation was observed for E-selectin (p=0.0285), while no significant correlations were found for bFGF (p=0.8127), ICAM (p=0.7478), PlGF (p=0.6761), VEGF A (p=0.4601), VEGFR-1 (p=0.3193), or VEGFR-2 (p=0.1758).",MIXED,"Bevacizumab was the experimental drug. Eligibility criteria did not select patients based on EGFR, ALK, KRAS, ROS1, or PD-L1. The primary endpoint assessed correlation of response rate with multiple plasma biomarkers; one (E-selectin) showed a significant correlation (p < 0.05), while the others did not, leading to a mixed efficacy status for the primary endpoint's exploratory nature."
NCT00701558,An Open Label Study to Evaluate the Effect of First Line Treatment With Tarceva in Combination With Gemcitabine on Disease Progression in Patients With Unresectable Advanced and/or Metastatic Non-small Cell Lung Cancer,Erlotinib,EGFR,"The primary outcome for Time to Disease Progression showed a median of 15 weeks (95% CI: 7, 36 weeks). The primary outcome for Overall Response Rate (ORR) was 15.8% of participants. Both outcomes are from a single-arm study without reported p-values or comparative statistics.",UNCERTAIN,"The study is a single-arm trial, and while results for median Progression-Free Survival (PFS) and Overall Response Rate (ORR) are reported for the experimental arm, no p-values or comparative statistics are provided for either primary endpoint. Therefore, it is impossible to determine if statistical significance (p < 0.05) was met or failed against a null hypothesis or a comparator, based on the provided criteria."
NCT00718315,"A Randomized, Open Label Study to Compare the Use of the Dermatological Creams Verutex, Eritex and Fisiogel in the Management of Skin Rash Associated With Tarceva Treatment in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer.",fusidic acid; erythromycin; Fisiogel,Unselected,"The primary endpoint, percentage of participants developing skin rash, was not significantly reduced below the 61% threshold by any of the tested topical agents (Fisiogel, Eritex/Stiemicyn, or Verutex).",NEGATIVE,"All primary endpoint analyses for the reduction in skin rash incidence yielded p-values greater than 0.05 (Fisiogel p=0.481, Stiemicyn p=0.933, Verutex p=0.986), indicating no statistically significant benefit for any of the experimental drugs compared to the predefined threshold."
NCT00723957,A Randomized Phase 2 Study of Ixabepilone Plus Carboplatin and Paclitaxel Plus Carboplatin in Patients With Advanced Non-small Cell Lung Cancer,Ixabepilone,Unselected,"The primary endpoint, Progression-free Survival (PFS) in the subgroup of participants with βIII-tubulin positive tumors, was not met. The median PFS was 4.27 months for both Ixabepilone + Carboplatin and Paclitaxel + Carboplatin arms. The Hazard Ratio for Ixabepilone vs. Paclitaxel was 1.04 (90% CI upper limit 1.41), with a p-value of 0.5735.",NEGATIVE,"The primary endpoint's p-value (0.5735) was significantly greater than 0.05, and the one-sided 90% confidence interval for the Hazard Ratio (upper limit 1.41) included 1.0, indicating no statistically significant improvement in progression-free survival for Ixabepilone over Paclitaxel in the βIII-tubulin positive subgroup."
NCT00735696,"A Phase 2, Open-label Study of IMC-1121B in Combination With Paclitaxel and Carboplatin as First-line Therapy in Patients With Stage IIIB/IV Non-small Cell Lung Cancer",Ramucirumab,Unselected,"The primary endpoint was the percentage of participants progression-free (PFS) at 6 months. In the Ramucirumab + Paclitaxel + Carboplatin arm, the 6-month PFS rate was 59.0% (95% Confidence Interval: 41.3% - 72.9%).",UNCERTAIN,"This was a single-arm Phase 2 study. While the 6-month PFS rate was reported as 59.0% (95% CI: 41.3% - 72.9%), the data provided does not include a p-value for a statistical test against a null hypothesis or a comparator arm to assess significance (e.g., p < 0.05). The 'CI crosses 1.0/0' criterion is not applicable for a percentage outcome in this context. Therefore, efficacy status cannot be definitively determined as POSITIVE or NEGATIVE based on the provided criteria."
NCT00741988,Phase II Trial of Ixabepilone and Carboplatin With or Without Bevacizumab in Patients With Previously Untreated Advanced Non-Small-Cell Lung Cancer,Ixabepilone; Bevacizumab,Unselected,"The primary outcome, Overall Response Rate (ORR), was 29% (95% CI: 16-45) for the Ixabepilone/Carboplatin arm and 50% (95% CI: 34-66) for the Ixabepilone/Carboplatin/Bevacizumab arm.",UNCERTAIN,"The primary outcome reports ORR with 95% Confidence Intervals for each arm but no p-value for statistical significance of a comparison between arms or against a pre-specified threshold. The provided efficacy status rules for 'POSITIVE' or 'NEGATIVE' require a p-value or a CI for a relative effect measure (which would cross 1.0/0), neither of which is present for this primary outcome. Therefore, the efficacy status is 'UNCERTAIN'."
NCT00745875,"A Phase II, Double-blind, Placebo Controlled, Randomised Study to Assess the Efficacy and Safety of ZD4054 (Zibotentan) in Combination With Pemetrexed (Alimta®) vs. Pemetrexed Alone in Patients With Non-small Cell Lung Cancer Who Have Failed One Prior Platinum-based Chemotherapy Regimen",ZD4054,Unselected,"The primary outcome, Time to Death (Overall Survival), had a median of 146 days (range 19-427) for the ZD4054 + Pemetrexed arm and 193 days (range 27-437) for the Placebo + Pemetrexed arm.",UNCERTAIN,"No statistical analysis (e.g., p-value or confidence interval for hazard ratio) for the primary endpoint was reported in the provided outcome section, precluding a definitive assessment of statistical significance. Numerically, the experimental arm showed a shorter median overall survival compared to the control arm."
NCT00753714,"Phase II, Randomised, Double-blind, Two-arm, Parallel Study of Vandetanib (ZACTIMA™ , ZD6474) Plus Gemcitabine (Gemzar® ) or Gemcitabine Plus Placebo as First Line Treatment of Advanced (Stage IIIB or IV) Non Small Cell Lung Cancer (NSCLC) Elderly Patients.",Vandetanib,Unselected,"The primary endpoint, Progression-Free Survival (PFS), showed a median of 183 days (95% CI: 116-214) for the Vandetanib plus Gemcitabine arm compared to 169 days (95% CI: 95-194) for the Gemcitabine plus Placebo arm. The confidence intervals for both groups largely overlap, indicating no statistically significant difference in PFS.",NEGATIVE,"The primary endpoint (PFS) did not show a statistically significant improvement with Vandetanib. The median PFS values were very similar between the experimental and control arms, and their 95% confidence intervals overlapped considerably, indicating no significant difference based on the provided data and without a reported p-value or hazard ratio with its CI."
NCT00762034,"Randomized, Open-Label, Phase 3 Study of Pemetrexed Plus Carboplatin and Bevacizumab Followed by Maintenance Pemetrexed and Bevacizumab Versus Paclitaxel Plus Carboplatin and Bevacizumab Followed by Maintenance Bevacizumab in Patients With Stage IIIB or IV Nonsquamous Non-Small Cell Lung Cancer",Pemetrexed,Unselected,"The primary endpoint, Overall Survival, showed no statistically significant difference between the Pem/Carbo/Bev arm (median OS 12.55 months, 95% CI: 11.30-14.03) and the Pac/Carbo/Bev arm (median OS 13.40 months, 95% CI: 11.86-14.91). The Hazard Ratio was 1.00 (95% CI: 0.86-1.16).",NEGATIVE,"The primary endpoint (Overall Survival) failed to meet statistical significance (p=0.94896), as the p-value was greater than 0.05 and the 95% Confidence Interval for the Hazard Ratio (0.86-1.16) crossed 1.0."
